,unique_id,ds,y
0,total,1998-03-31,84503
1,total,1998-06-30,65312
2,total,1998-09-30,72753
3,total,1998-12-31,70880
4,total,1999-03-31,86893
5,total,1999-06-30,66866
6,total,1999-09-30,72182
7,total,1999-12-31,68318
8,total,2000-03-31,85651
9,total,2000-06-30,64467
10,total,2000-09-30,70416
11,total,2000-12-31,72855
12,total,2001-03-31,80385
13,total,2001-06-30,67967
14,total,2001-09-30,69849
15,total,2001-12-31,71445
16,total,2002-03-31,83938
17,total,2002-06-30,63529
18,total,2002-09-30,75540
19,total,2002-12-31,75663
20,total,2003-03-31,83860
21,total,2003-06-30,67193
22,total,2003-09-30,71389
23,total,2003-12-31,71658
24,total,2004-03-31,85852
25,total,2004-06-30,66981
26,total,2004-09-30,73840
27,total,2004-12-31,70217
28,total,2005-03-31,85992
29,total,2005-06-30,59637
30,total,2005-09-30,66846
31,total,2005-12-31,63392
32,total,2006-03-31,82637
33,total,2006-06-30,67523
34,total,2006-09-30,65938
35,total,2006-12-31,69544
36,hol,1998-03-31,45906
37,hol,1998-06-30,29347
38,hol,1998-09-30,32492
39,hol,1998-12-31,31813
40,hol,1999-03-31,46793
41,hol,1999-06-30,31442
42,hol,1999-09-30,34623
43,hol,1999-12-31,31118
44,hol,2000-03-31,47030
45,hol,2000-06-30,30852
46,hol,2000-09-30,34157
47,hol,2000-12-31,32332
48,hol,2001-03-31,44072
49,hol,2001-06-30,32250
50,hol,2001-09-30,32259
51,hol,2001-12-31,32037
52,hol,2002-03-31,44888
53,hol,2002-06-30,28899
54,hol,2002-09-30,31813
55,hol,2002-12-31,32790
56,hol,2003-03-31,43322
57,hol,2003-06-30,29209
58,hol,2003-09-30,31691
59,hol,2003-12-31,30669
60,hol,2004-03-31,42091
61,hol,2004-06-30,29457
62,hol,2004-09-30,33643
63,hol,2004-12-31,29070
64,hol,2005-03-31,44043
65,hol,2005-06-30,26719
66,hol,2005-09-30,30947
67,hol,2005-12-31,26418
68,hol,2006-03-31,43601
69,hol,2006-06-30,30777
70,hol,2006-09-30,30938
71,hol,2006-12-31,31845
72,vfr,1998-03-31,26042
73,vfr,1998-06-30,20676
74,vfr,1998-09-30,20582
75,vfr,1998-12-31,21613
76,vfr,1999-03-31,26947
77,vfr,1999-06-30,19481
